file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,71,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,1,26
style.css,72,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,1,15
style.css,73,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,7
style.css,74,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,75,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,76,css,cdd8a105,tanishaiyer1,2025-10-30,00:47:13,-07:00,2025-10-30T00:47:13-07:00,0,15
style.css,77,css,cdd8a105,tanishaiyer1,2025-10-30,00:47:13,-07:00,2025-10-30T00:47:13-07:00,1,19
style.css,78,css,39c420a5,tanishaiyer1,2025-10-30,00:26:38,-07:00,2025-10-30T00:26:38-07:00,0,0
style.css,79,css,39c420a5,tanishaiyer1,2025-10-30,00:26:38,-07:00,2025-10-30T00:26:38-07:00,0,0
style.css,80,css,8b6a7714,tanishaiyer1,2025-10-30,01:02:56,-07:00,2025-10-30T01:02:56-07:00,0,27
style.css,81,css,cdd8a105,tanishaiyer1,2025-10-30,00:47:13,-07:00,2025-10-30T00:47:13-07:00,1,30
style.css,82,css,39c420a5,tanishaiyer1,2025-10-30,00:26:38,-07:00,2025-10-30T00:26:38-07:00,1,10
style.css,83,css,39c420a5,tanishaiyer1,2025-10-30,00:26:38,-07:00,2025-10-30T00:26:38-07:00,1,34
style.css,84,css,39c420a5,tanishaiyer1,2025-10-30,00:26:38,-07:00,2025-10-30T00:26:38-07:00,1,16
style.css,85,css,cdd8a105,tanishaiyer1,2025-10-30,00:47:13,-07:00,2025-10-30T00:47:13-07:00,1,18
style.css,86,css,39c420a5,tanishaiyer1,2025-10-30,00:26:38,-07:00,2025-10-30T00:26:38-07:00,0,0
style.css,87,css,39c420a5,tanishaiyer1,2025-10-30,00:26:38,-07:00,2025-10-30T00:26:38-07:00,0,0
style.css,88,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,12
style.css,89,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,1,8
style.css,90,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,91,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,92,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,22
style.css,93,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,1,15
style.css,94,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,1,17
style.css,95,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,96,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,97,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,2
style.css,98,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,1,14
style.css,99,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,18
style.css,100,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,101,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,102,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,19
style.css,103,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,11
style.css,104,css,5dcef03d,tanishaiyer1,2025-10-16,15:18:23,-07:00,2025-10-16T15:18:23-07:00,1,10
style.css,105,css,5dcef03d,tanishaiyer1,2025-10-16,15:18:23,-07:00,2025-10-16T15:18:23-07:00,1,36
style.css,106,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,107,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,108,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,8
style.css,109,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,15
style.css,110,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,19
style.css,111,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,17
style.css,112,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,15
style.css,113,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,114,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,115,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,12
style.css,116,css,f537d85a,tanishaiyer1,2025-10-16,15:47:00,-07:00,2025-10-16T15:47:00-07:00,1,16
style.css,117,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,19
style.css,118,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,17
style.css,119,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,40
style.css,120,css,f537d85a,tanishaiyer1,2025-10-16,15:47:00,-07:00,2025-10-16T15:47:00-07:00,1,36
style.css,121,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,122,css,cde4f672,tanishaiyer1,2025-10-08,23:21:43,-07:00,2025-10-08T23:21:43-07:00,0,0
style.css,123,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,124,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,12
style.css,125,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,36
style.css,126,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,17
style.css,127,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,31
style.css,128,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,129,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,0
style.css,130,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,0,15
style.css,131,css,6939c970,tanishaiyer1,2025-10-10,18:29:57,-07:00,2025-10-10T18:29:57-07:00,1,11
